fiscal_year,year,month,phase,sale_period,bond_type,transaction_type,bonds,amount,units
2021-22,2022,January,19,01st January to 10th January 2022,One Crore Bond,Redeemed or Encashed Bonds,1156,11560000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,One Crore Bond,Sold or Purchased Bonds,1156,11560000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,One Lakh Bond,Redeemed or Encashed Bonds,365,36500000,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,One Lakh Bond,Sold or Purchased Bonds,365,36500000,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,One Thousand Bond,Sold or Purchased Bonds,1,1000,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,One Thousand Bond,Bonds Transferred to PMNRF,1,1000,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,Ten Lakh Bond,Redeemed or Encashed Bonds,532,532000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,Ten Lakh Bond,Sold or Purchased Bonds,536,536000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,Ten Lakh Bond,Bonds Transferred to PMNRF,4,4000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,Ten Thousand Bond,Redeemed or Encashed Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,Ten Thousand Bond,Sold or Purchased Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2021-22,2022,January,19,01st January to 10th January 2022,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,One Crore Bond,Redeemed or Encashed Bonds,593,5930000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,One Crore Bond,Sold or Purchased Bonds,593,5930000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,One Lakh Bond,Redeemed or Encashed Bonds,241,24100000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,One Lakh Bond,Sold or Purchased Bonds,241,24100000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,One Thousand Bond,Redeemed or Encashed Bonds,5,5000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,One Thousand Bond,Sold or Purchased Bonds,5,5000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,One Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,Ten Lakh Bond,Redeemed or Encashed Bonds,189,189000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,Ten Lakh Bond,Sold or Purchased Bonds,189,189000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,Ten Thousand Bond,Redeemed or Encashed Bonds,29,290000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,Ten Thousand Bond,Sold or Purchased Bonds,29,290000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,October,18,01st October to 10th October 2021,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,One Crore Bond,Redeemed or Encashed Bonds,126,1260000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,One Crore Bond,Sold or Purchased Bonds,126,1260000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,One Lakh Bond,Redeemed or Encashed Bonds,90,9000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,One Lakh Bond,Sold or Purchased Bonds,90,9000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,Ten Lakh Bond,Redeemed or Encashed Bonds,236,236000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,Ten Lakh Bond,Sold or Purchased Bonds,236,236000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,Ten Thousand Bond,Redeemed or Encashed Bonds,13,130000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,Ten Thousand Bond,Sold or Purchased Bonds,13,130000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,July,17,01st July to 10th July 2021,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,April,16,01st April to 20th April 2021,One Crore Bond,Redeemed or Encashed Bonds,671,6710000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,April,16,01st April to 20th April 2021,One Crore Bond,Sold or Purchased Bonds,671,6710000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,April,16,01st April to 20th April 2021,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,April,16,01st April to 20th April 2021,One Lakh Bond,Redeemed or Encashed Bonds,64,6400000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,April,16,01st April to 20th April 2021,One Lakh Bond,Sold or Purchased Bonds,64,6400000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,April,16,01st April to 20th April 2021,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,April,16,01st April to 20th April 2021,One Thousand Bond,Sold or Purchased Bonds,2,2000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,April,16,01st April to 20th April 2021,One Thousand Bond,Bonds Transferred to PMNRF,2,2000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,April,16,01st April to 20th April 2021,Ten Lakh Bond,Redeemed or Encashed Bonds,237,237000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,April,16,01st April to 20th April 2021,Ten Lakh Bond,Sold or Purchased Bonds,237,237000000,"bonds in absolute number, amount is Indian rupees"
2021-22,2021,April,16,01st April to 20th April 2021,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2020-21,2021,January,15,01st January to 10th January 2021,One Crore Bond,Redeemed or Encashed Bonds,34,340000000,"bonds in absolute number, amount is Indian rupees"
2020-21,2021,January,15,01st January to 10th January 2021,One Crore Bond,Sold or Purchased Bonds,34,340000000,"bonds in absolute number, amount is Indian rupees"
2020-21,2021,January,15,01st January to 10th January 2021,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2020-21,2021,January,15,01st January to 10th January 2021,One Lakh Bond,Redeemed or Encashed Bonds,26,2600000,"bonds in absolute number, amount is Indian rupees"
2020-21,2021,January,15,01st January to 10th January 2021,One Lakh Bond,Sold or Purchased Bonds,29,2900000,"bonds in absolute number, amount is Indian rupees"
2020-21,2021,January,15,01st January to 10th January 2021,One Lakh Bond,Bonds Transferred to PMNRF,3,300000,"bonds in absolute number, amount is Indian rupees"
